"","PC1","PC2","PC3"
"MIR4461",-0.999923536274105,0.0122376137507712,0.00175943205649986
"QSER1",-0.990987280005982,-0.0326702326063401,0.0092505359785776
"DEPDC1",-0.989395404769595,0.0070486205067653,0.0435206665133272
"FAM40B",-0.989295849236261,-0.0516871086929336,-0.0483828145981492
"SGOL1",-0.989131904422334,-0.0609042944306216,0.0704786474477601
"DCP2",-0.988281221455666,0.0026900246583721,0.0476016439427604
"CENPI",-0.988224903780023,-0.00899027787371201,0.0722536592605575
"KIF14",-0.987433346877804,-0.047762409361131,0.0663181579522521
"CTPS2",-0.987040839628259,-0.051843464047826,-0.0173776305467678
"GTF3C4",-0.986791947853215,-0.0147113458128169,0.029131602727628
"NUCKS1",-0.986663326515226,-0.00905022666949243,-0.0233640643982325
"SCML2",-0.986141354254126,-0.0968109709195868,0.0310212416344665
"ZMYM2",-0.985883856407786,0.0043732667649937,-0.0205743973186393
"DROSHA",-0.985793385480135,-0.0287977190957284,0.0163778627733474
"ZNF134",-0.985750318046483,-0.0257334022800112,0.0613686841201965
"CLSPN",-0.985531232573678,-0.114578543588523,0.0397186787620018
"CCNB2",-0.985522929069544,-0.0717867232091576,0.0413312824148724
"CDCA2",-0.985032276010247,-0.0220593856685278,0.0649237054436125
"CDKN3",-0.984964720016715,-0.0697315959308992,-0.0247066234379284
"SGOL2",-0.983826723570409,-0.0706297140543562,0.0321218595370136
"ARHGAP11A",-0.982953235155059,0.0190016532579676,0.0707498209372925
"FANCB",-0.982742097926184,0.0533739912418822,0.0860318489508685
"FBXO5",-0.982445897920828,-0.0305870301481586,0.0104183731051588
"MDN1",-0.982423673686072,-0.0887003745585355,0.11287466279273
"PRRC2C",-0.982220676441426,-0.0981577731000437,0.0159161666783635
"ZNF678",-0.981954502604358,0.066148426599406,-0.00510989948408263
"GAN",-0.981766000827368,-0.0451330447253924,0.0554424207026598
"KIF4A",-0.981702930109806,0.000661151758940628,-0.00100488973342568
"TPX2",-0.981513001011186,-0.0910990862964264,0.0254481358429305
"BRWD3",-0.981294948267189,-0.014968861398102,-0.0626045728121762
"IREB2",-0.981168075651346,0.0708865856782747,-0.034209176995364
"HMGXB4",-0.980820936006714,-0.0732846979965594,0.0105252266668693
"KIF23",-0.980771719685054,-0.0679601297808635,0.0560527713741748
"KNTC1",-0.980750211226376,-0.0832090816426301,0.0422025980707344
"KIF11",-0.980728259385094,-0.0458894653372236,-0.00990034848179976
"S100PBP",-0.98037805577671,-0.132590474710678,0.0184781404588593
"IGF2BP1",-0.980056529089149,-0.0347661973620587,0.0296942429110304
"G2E3",-0.979825668504848,-0.0927107664659028,0.100164617550689
"ZIK1",-0.979821938021618,-0.0618409031075554,0.0303503289984941
"N4BP2",-0.979534418840347,0.0972221263723449,-0.0633848452368742
"MSH6",-0.97928755685518,0.0516651951190975,0.0926005322639484
"CCNA2",-0.979154250134142,-0.109124690316322,0.0503604123406309
"CAPRIN1",-0.979001385766629,-0.109993145963735,-0.0687643666102791
"PTTG1",-0.978861651473251,-0.121133651592085,0.0643867663370203
"BORA",-0.978513635236969,0.0491891674182556,0.0733875290890142
"CCDC99",-0.978481223699771,0.0129498310287205,0.0488951264107702
"RNGTT",-0.978300118280666,0.000749083390618807,0.0929323295127456
